#,Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Links in group
42,Organiser la comptabilité de l'auto-entrepreneur,https://estelleseznec.com/organiser-comptabilite-autoentrepreneur/,fr,wordpress,200,0.1,4.6,2,1,8,10,0,0,https://academie.lamicrobyflo.fr/les-bases-de-la-micro-entreprise/c3bok,"Si vous souhaitez connaître les bases de la micro-entreprise, découvrez",ce cours en ligne,accessible et complet.,,,text,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,pagefound,2024-08-12 01:48:19,2025-11-26 08:30:03,,,3
43,FAQ Side Business | Jessica David,https://jessicadavidcoaching.com/coachings/faq-side-business/,fr,wordpress,200,0,4.5,0,0,7,7,0,0,https://lamicrobyflo.fr/,complet pour trouver toutes les infos sur la micro-entreprise :,La Micro by Flo,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2025-11-04 20:16:41,2025-12-02 13:52:20,,,1
44,Grossesse : ressources & bons plans | Top Knot and Tea Cups,https://topknotandteacups.com/2024/04/04/grossesse-ressources-bonsplans/,fr,wordpress,200,3.8,4.5,54,0,23,43,0,0,https://lamicrobyflo.fr/articles/tout-savoir-sur-le-conge-maternite-en-micro-entreprise/,,"Tout savoir sur le congé maternité en auto-entreprise, La Micro By Flo",,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-04-04 21:43:35,2025-11-27 02:59:33,,,1
45,Genèse de Doc et Plume – Doc et Plume,https://www.docetplume.fr/genese/,fr,"ecommerce, wordpress",200,2.4,4.5,0,0,12,13,0,0,https://lamicrobyflo.fr/,La complice :,la micro by Flo,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,linkrestored,2024-09-22 16:45:43,2025-11-15 06:26:44,,,1
46,Blogs et sites à suivre pour développer votre entreprise – Rigolatis COMMONS,https://rigolatis.com/wiki/blogs-et-sites-a-suivre-pour-developper-votre-entreprise/,fr,"ecommerce, wordpress",200,20,4.5,27,0,48,54,0,0,https://lamicrobyflo.fr/,,https://lamicrobyflo.fr/,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-11-14 23:00:13,2025-11-15 03:21:54,,,1
47,La Fiscalité du Business de Management OnlyFans,https://www.vyraheart.fr/fiscalite-management-onlyfan/,fr,"ecommerce, wordpress",200,0,4.5,8,0,4,5,0,0,https://lamicrobyflo.fr/declarer-revenus-onlyfans-mym/,les déclarer à titre non professionnel ou créer une entreprise.,La Micro by Flo,,,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2025-04-05 18:10:34,2025-11-29 03:14:24,,,1
48,Déclarer ses revenus Adsense : enfin LE tuto complet et détaillé ! - Mon Argent Simplement,https://monargentsimplement.com/declarer-revenus-adsense-guide-complet-simple,"fr, en",wordpress,200,1,4.5,55,0,12,15,0,0,https://lamicrobyflo.fr/,"bien documentés sur le régime de micro-entreprise, je vous recomande",La Micro by Flo,: c’est un excellent portail avec de nombreux tutoriels bien,,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2025-04-16 05:06:11,2025-11-30 13:40:48,,Mon Argent Simplement,1
49,LA MICRO BY FLO - Salon SME,https://www.salonsme.com/espace-exposants/exposants/la-micro-by-flo-1709.html,"en, fr",,200,59,4.5,737,0,18,22,0,0,https://lamicrobyflo.fr/,,LA MICRO BY FLO,,,,image,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,linkrestored,2024-08-06 13:40:07,2025-11-30 16:06:33,,,1
50,10 questions à se poser avant de devenir photographe professionnel,https://www.graindepixel.fr/questions-devenir-photographe-professionnel/,fr,wordpress,200,22,4.5,105,0,4,5,0,0,https://www.lamicrobyflo.fr/,photographes qui se lancent aujourd’hui le font sur le web,en micro entreprise.,Il y en a bien 20% sont incapable de remplir,,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,linkrestored,2025-01-10 14:56:25,2025-11-28 16:31:52,,,2
51,Nouvelle mention légale au 1er juillet 2021 – A2R Micro – Assistance informatique,https://a2rmicro.net/nouvelle-mention-legale-au-1er-juillet-2021/,fr,"ecommerce, wordpress",200,15,4.5,0,0,11,12,0,0,https://www.lamicrobyflo.fr/blog/mention-garantie-legale-conformite-obligatoire,,https://www.lamicrobyflo.fr/blog/mention-garantie-legale-conformite-obligatoire,,,,text,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,linkrestored,2021-06-30 06:28:28,2025-12-01 02:51:08,,,1
